sku,pagepath,dsc_image_url,product_name
LO851AA0RAJK7NAFAMZ,/mens-dress-shirts/,https://NG.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/45/841543/1.jpg,Brand Men's Long Sleeves Dress Shirts-White.
FA203AA07YPGKNAFAMZ,/mens-dress-shirts/,https://NG.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/13/376612/1.jpg,Men's Plain  Long Sleeve Shirt-Black
FA203MW0NWGP9NAFAMZ,/mens-dress-shirts/,https://NG.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/40/145805/1.jpg,2 Ppcs Men's Shirt Long Sleeve-White/Blue
FA203MW1N2OE0NAFAMZ,/mens-dress-shirts/,https://NG.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/99/222264/1.jpg,Plain Yellow Longsleeve Shirt For Men
FA203MW01MC1INAFAMZ,/mens-dress-shirts/,https://NG.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/02/721654/1.jpg,Plain Skye-blue Longsleeve Shirt Fr Men
FA203MW15BICWNAFAMZ,/mens-dress-shirts/,https://NG.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/69/401264/1.jpg,Plain White Longsleeve Fashion Shirts For Men
RI133MW010P6WNAFAMZ,/mens-dress-shirts/,https://NG.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/01/712264/1.jpg,Check Color Match Long Sleeve Shirt
FA203AA1FEUW2NAFAMZ,/mens-dress-shirts/,https://NG.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/86/353634/1.jpg,Two In One-2 In 1- Long Sleeve Office Shirts White+Skye Blue
LO851AA19QZBBNAFAMZ,/mens-dress-shirts/,https://NG.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/76/841543/1.jpg,Formal Men's Long Sleeves Dresses Shirts-Red.
FA203AA0482NXNAFAMZ,/mens-dress-shirts/,https://NG.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/07/095165/1.jpg,Sartoria Men's Long Sleeve Shirt
FA203AA0MIUVRNAFAMZ,/mens-dress-shirts/,https://NG.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/37/831383/1.jpg,Ethnic Printed Long-sleeve Men's Shirt-White
FA203AA0919R6NAFAMZ,/mens-dress-shirts/,https://NG.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/15/175842/1.jpg,Men's Classic Design Long Sleeve Shirt
FA203MW1D6FK4NAFAMZ,/mens-dress-shirts/,https://NG.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/82/601284/1.jpg,Mens Dress Shirts Long Sleeve Business Shirts
FA203MW14S7XGNAFAMZ,/mens-dress-shirts/,https://NG.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/68/501284/1.jpg,Mens Dress Shirts Long Sleeve Business Shirts
AR869AA0W6H3PNAFAMZ,/mens-dress-shirts/,https://NG.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/54/049813/1.jpg,Men Official Long Sleeve Shirt - Grey
FA203AA0LQZ0WNAFAMZ,/mens-dress-shirts/,https://NG.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/36/530384/1.jpg,6In1 Quality Men's Design LongSleeve Office Corporate Shirt
FA203AA1JJFB3NAFAMZ,/mens-dress-shirts/,https://NG.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/93/285183/1.jpg,Plain Formal Long Sleeve Shirt - Sky Blue
FA203AA1D08RUNAFAMZ,/mens-dress-shirts/,https://NG.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/82/312554/1.jpg,"6In1 LongSleeve Shirt White,Pink,Wine,Black,Sky & Royal Blue"
FA203AA0AKRQZNAFAMZ,/mens-dress-shirts/,https://NG.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/17/765243/1.jpg,6 In 1 Men's Classic Design Long Sleeve Shirt
FA203AA0EP6TJNAFAMZ,/mens-dress-shirts/,https://NG.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/24/689863/1.jpg,Men Long Sleeve Thin Section Four Seasons Slim Fit Shirt Formal Wear Business Shirt-Pink
FA203AA07CS4INAFAMZ,/mens-dress-shirts/,https://NG.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/12/353634/1.jpg,6 In 1 Quality Men's Classic Design Long Sleeve  Office Corporate Shirt
FA203AA02XP70NAFAMZ,/mens-dress-shirts/,https://NG.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/04/931532/1.jpg,4 In 1 Long Sleeve Shirts For Men - Multi
FA203AA1CDLUMNAFAMZ,/mens-dress-shirts/,https://NG.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/81/256414/1.jpg,2 In 1 Men's Classic Design Long Sleeve Shirt
FA203AA1JD6BVNAFAMZ,/mens-dress-shirts/,https://NG.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/92/993611/1.jpg,Plain Formal Long Sleeve Oxford Shirt - Blue
FA203AA0M32T9NAFAMZ,/mens-dress-shirts/,https://NG.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/37/095165/1.jpg,Sartoria Men's Long Sleeve Shirt
CO536AA05AVS7NAFAMZ,/mens-dress-shirts/,https://NG.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/08/905831/1.jpg,Plain Long Sleeve Oxford Shirt - Pink
FA203AA0W2OTWNAFAMZ,/mens-dress-shirts/,https://NG.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/53/873204/1.jpg,Mens Dress Shirts Long Sleeve Business Shirts Water Blue
FA203AA0IWFOUNAFAMZ,/mens-dress-shirts/,https://NG.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/31/746414/1.jpg,2 In 1 Men's Classic Design Long Sleeve Shirt
HA185AA17X3G3NAFAMZ,/mens-dress-shirts/,https://NG.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/73/767603/1.jpg,Men's Classic Design Long Sleeve Shirt
GE779AA0ZQPM6NAFAMZ,/mens-dress-shirts/,https://NG.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/60/032814/1.jpg,SALE! Spring And Autumn Loose Striped Thin Hooded Base Long-sleeved Shirt Women Red
FA203AA0D2YEQNAFAMZ,/mens-dress-shirts/,https://NG.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/21/972914/1.jpg,"Mens Long Sleeve Casual Button Vintage Cotton Linen T-Shirt "
